"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"USB-PWR1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";1;"USB-C-16P-F(A40-00119-A52-12)";;;
2;"NEO6502_NEW";"Neo6502_Sign_Small_NEW2";1;"LOGO";;;
3;"NEO_LOGO_SMALL*";"Neo6502_Sign_Small";1;"LOGO";;;
4;"USB-HOST1";"USB-A-SMT-6.3H_HOST_Female";1;"USB-A-SMT-6.3H";;;
5;"DVI1";"HDMI-SWM-19_Paste";1;"HDMI-SWM-19";;;
6;"BUS1";"GBH-254-SMT-40";1;"P-B-V-40-LF";;;
7;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
8;"Sign_RoHS";"Sign_RoHS_1";1;"Sign_RoHS";;;
9;"Sign_RecycleBin";"Sign_RecycleBin_1";1;"Sign_RecycleBin";;;
10;"Sign_PB-Free";"Sign_PB-Free";1;"Sign_PB-Free";;;
11;"Sign_OSHW_8x8";"Sign_OSHW_8x8";1;"Sign_OSHW_8x8";;;
12;"Sign_Antistatic";"Sign_Antistatic";1;"Sign_Antistatic";;;
13;"Logo_OLIMEX_TB-Bottom,Logo_OLIMEX_TB-Top";"Logo_OLIMEX_TB";2;"Logo_OLIMEX_TB";;;
14;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
15;"AUDIO1";"SCJ325P00XG0B02G";1;"PJ-3.5-365-5P";;;
16;"C22,C18,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C14,C21,C26,C27,C29";"C_0402_5MIL_DWS";18;"100nF/10V/20%/X5R/C0402";;;
17;"FID2,FID3,FID5,FID6,FID4";"Fiducial1x3";5;"Fiducial";;;
18;"MH1,MH2,MH3,MH4";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";4;"Mounting_Hole_NPTH";;;
19;"PWR_LED1";"LED_0603_KA";1;"LED/RED/0603";;;
20;"R13,R33,R34,R8";"R_0402_5MIL_DWS";4;"2.2k/R0402";;;
21;"R30,R1,R14,R17,R18,R19,R20,R21,R31,R32";"R_0402_5MIL_DWS";10;"10k/R0402";;;
22;"R9";"R_0402_5MIL_DWS";1;"150R/R0402";;;
23;"R11,R22,R23,R24,R25,R26,R27,R28,R29";"R_0402_5MIL_DWS";9;"270R/R0402";;;
24;"C20,C17,C19,C23,C24";"C_0603_5MIL_DWS";5;"22uF/6.3V/20%/X5R/C0603";;;
25;"D1";"SOD-123_1C-2A_KA";1;"1N4148W/SOD123";;;
26;"Q2";"SOT23";1;"BC817-40(SOT23)";;;
27;"BOOT1";"YTS-A016-X";1;"YTS-A016-X";;;
28;"C11,C12,C25,C28,C30";"C_0402_5MIL_DWS";5;"2.2uF/6.3V/20%/X5R/C0402";;;
29;"C15,C16";"C_0402_5MIL_DWS";2;"18pF/50V/5%/C0G/C0402";;;
30;"HCEC1,HHPD1,HSCL1,HSDA1";"TESTPAD_40-ROUND";4;"TESTPAD";;;
31;"FUSE1";"FUSE-1206";1;"1N5819S4(SOD-123)";;;
32;"L1";"CD32";1;"2.2uH/1.5A/DCR=58mR/20%/3.00x3.00x1.50mm/CD32(NRS3015T2R2MNGH)";;;
33;"Q1";"TSX-3.2x2.5mm_GND(3)";1;"Q12MHz/20pF/10ppm/4P/3.2x2.5mm";;;
34;"R2";"R_0402_5MIL_DWS";1;"NA(10k/R0402)";;;
35;"R3,R6";"R_0402_5MIL_DWS";2;"100R/R0402";;;
36;"R4,R5";"R_0402_5MIL_DWS";2;"27R/R0402";;;
37;"R10,R12";"R_0402_5MIL_DWS";2;"5.1k/1%/R0402";;;
38;"R15";"R_0402_5MIL_DWS";1;"220k/R0402";;;
39;"R16";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
40;"RM1,RM2";"RA1206_(4X0603)_4B8_xx";2;"RA1206_(4x0603)_4B8_330R";;;
41;"SWD1";"HN1x3";1;"NA(HN1x3)";;;
42;"U1";"SO-8_208mil";1;"ZD25Q16BTIGT(SOIC-8_208mils)";;;
43;"U2";"QFN56_7x7_Pitch_0.4mm";1;"RP2040(QFN-56_7x7mm_P0.4mm)";;;
44;"U3";"SOT-23-5";1;"SY8089AAAC(SOT23-5)";;;
45;"U5,U6,U7";"TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm";3;"74LVC245APW(TSSOP20)";;;
46;"SPK1";"Speaker_QMB-09B-03_1-Plus_2-Minus";1;"Speaker_QMB-09B-03(1.5-5.0V_2.7kHz_F9.0mm*H5.5mm)";;;
47;"R7";"R_1206_5MIL_DWS";1;"47R/R1206";;;
48;"FID1";"Fiducial1x3_Past";1;"Fiducial";;;
49;"U4";"TQFP44_NEO6502";1;"W65C02S6TQTG-14(TQFP44)";;;
50;"SWITCH1";"DSHP04TS-S-1.27mm_Half_4_Slide";1;"DSHP04TS-S";;;
